Age,Income,Credit Score,Loan History,Customer ID,Name,Product Type,Amount,Transaction Date,Transaction Frequency
28,78336.1,723,Home Loan,e2b32846-d138-49b5-a208-6fca2ad7f67b,Evelyn Smith,Insurance,155.6,2024-08-06,Yearly
28,78336.1,723,Home Loan,e2b32846-d138-49b5-a208-6fca2ad7f67b,Evelyn Smith,Personal Loan,2070.26,2024-04-19,Monthly
28,78336.1,723,Home Loan,e2b32846-d138-49b5-a208-6fca2ad7f67b,Evelyn Smith,Home Loan,3300.82,2024-10-15,Monthly
28,78336.1,723,Home Loan,e2b32846-d138-49b5-a208-6fca2ad7f67b,Evelyn Smith,Home Loan,831.08,2024-04-16,Weekly
28,78336.1,723,Home Loan,e2b32846-d138-49b5-a208-6fca2ad7f67b,Evelyn Smith,Savings Account,295.83,2024-01-03,Monthly
66,71451.75,624,Car Loan,2f5a40c1-6310-4218-8b9c-41701f949a0c,Peggy Watson,Savings Account,774.29,2024-05-24,Weekly
66,71451.75,624,Car Loan,2f5a40c1-6310-4218-8b9c-41701f949a0c,Peggy Watson,Credit Card,405.42,2024-03-24,Weekly
66,71451.75,624,Car Loan,2f5a40c1-6310-4218-8b9c-41701f949a0c,Peggy Watson,Savings Account,2239.82,2024-05-09,Weekly
66,71451.75,624,Car Loan,2f5a40c1-6310-4218-8b9c-41701f949a0c,Peggy Watson,Personal Loan,2685.05,2024-10-01,Weekly
25,136915.58,648,Home Loan,909d4cc2-9ebe-4f4b-8d9b-e267a4f70064,Ashley Turner,Insurance,1753.35,2024-09-19,Monthly
69,147037.59,770,Home Loan,3cd38bef-5baa-4205-8d9c-a069b618b38d,Alicia Mayer,Home Loan,3773.62,2024-11-30,Yearly
69,147037.59,770,Home Loan,3cd38bef-5baa-4205-8d9c-a069b618b38d,Alicia Mayer,Credit Card,3420.03,2024-03-02,Weekly
45,30908.16,822,Student Loan,a0509d1e-938e-4a01-b670-fd7a8133ea60,Lori Jennings,Savings Account,1187.08,2024-10-29,Yearly
33,100989.87,301,Student Loan,45552e29-ab2c-4f3c-a84b-cc5ec24f777e,Jennifer Kane,Home Loan,2212.41,2024-03-04,Monthly
33,100989.87,301,Student Loan,45552e29-ab2c-4f3c-a84b-cc5ec24f777e,Jennifer Kane,Insurance,2104.47,2024-03-25,Weekly
33,100989.87,301,Student Loan,45552e29-ab2c-4f3c-a84b-cc5ec24f777e,Jennifer Kane,Insurance,4069.38,2024-02-01,Once
40,123853.13,493,Car Loan,25441b4e-45f0-4970-b257-ba3a2b4b2dc3,Lee Scott,Home Loan,648.76,2024-02-15,Yearly
40,123853.13,493,Car Loan,25441b4e-45f0-4970-b257-ba3a2b4b2dc3,Lee Scott,Insurance,2133.09,2024-07-01,Weekly
40,123853.13,493,Car Loan,25441b4e-45f0-4970-b257-ba3a2b4b2dc3,Lee Scott,Personal Loan,3539.43,2024-01-28,Monthly
